tweet, polarity, negative, neutral, positive, compound
cow sacred get aadhar take seriously face vigilante war latest episode sosorry episode,negative,0.337,0.663,0.0,-0.6808
dis hilariously awesome aadharcard rofl best wish amazing amp sneakpeak,positive,0.0,0.213,0.787,0.9612
hello mail website ironic aadhar b authenticated pls take care update security certi,positive,0.091,0.488,0.421,0.6597
support aadhar least put aadhar number profile per claim perfectly safe worry,positive,0.138,0.333,0.529,0.802
aadhar indian leakd better system necessary security measure promoting digitalisation,positive,0.0,0.473,0.527,0.7783
modi gov misled public aadhar trust misuse formidable power via,positive,0.0,0.732,0.268,0.5106
dont give actual aadhar number maybe amongst crore leaked detail give fake number u scared,negative,0.417,0.452,0.131,-0.7717
really poor confident india confident identity using false aadhar btw isnt illegal,positive,0.159,0.376,0.464,0.7571
dissent aadhaar aadhar fraud nothing else,negative,0.432,0.568,0.0,-0.5859
make aadhar mandatory online account half troll army vanish benefit aadhar,positive,0.0,0.677,0.323,0.5106
ramdaspeth ngp br say mother aadhar card linked account reflected anywhere please help,positive,0.0,0.688,0.312,0.6124
say print downloadable version aadhar good original,positive,0.0,0.49,0.51,0.6369
aadhar technologically advanced verification process compared pan voter id hence promoted,positive,0.0,0.652,0.348,0.5859
gorakhpur psk validating aadhar online apo lucknow psk denying govt talking digital feel harassed,negative,0.306,0.57,0.124,-0.5423
sir procedure surrender aadhar number kindly tell,positive,0.0,0.526,0.474,0.5423
liar show aadhar card,negative,0.524,0.476,0.0,-0.5106
sir online fraud se bchne k liye sabhi online transaction aur online shopping k liye aadharcard compulsary kr dena chahiye,negative,0.183,0.817,0.0,-0.5859
enrollment centre ppl le vip day running behind still sitting waiting power come bangalore,positive,0.0,0.798,0.202,0.5106
excellent extremely well articulated piece jean drexel aadhar must read,positive,0.0,0.568,0.432,0.7264
still planning choke maoist werent told sit back aadhar linkage magic bullet,negative,0.241,0.759,0.0,-0.5423
something similar may start save aadhar data diehard coder rescued nasa earth science data,positive,0.0,0.667,0.333,0.7184
yes guy wil use iris scan amp verify aadhar database yes mean inter linking data server,positive,0.0,0.722,0.278,0.6597
aadharcard retirement watch aadhar card advantage retired employee ready avail see,positive,0.0,0.667,0.333,0.5423
trying account dead people aadhar number lame approach,negative,0.53,0.373,0.097,-0.7783
ration card show inactive status due non linking aadhar number went local office one ready help,positive,0.0,0.667,0.333,0.6705
please provide contactable toll free number aadhar card none mentioned no contactable,positive,0.0,0.477,0.523,0.7775
conspiracy also cia aadhar card,negative,0.459,0.541,0.0,-0.5267
give toll free aadhar query contactable mentioned website service,positive,0.0,0.708,0.292,0.5106
aadhar card also conspiracy cia,negative,0.459,0.541,0.0,-0.5267
like aadhar article feature many strawman single spark would cause biggest bonfire internet,positive,0.0,0.714,0.286,0.5267
hello sir possible applied aadhar apr recd number friend applied apr get,positive,0.0,0.69,0.31,0.5423
jean dreze mythmaking danger aadhar must read,negative,0.362,0.638,0.0,-0.5267
joined facebook twitter whatsapp put real bday share photo video location idiot insecure aadhar,negative,0.316,0.57,0.114,-0.5994
supporting privacy killing aadhar anonymous handle moronic amp ironic,negative,0.549,0.286,0.166,-0.7717
happy congress got thrown stupido idea agent modi ensured aadhar survival,positive,0.0,0.73,0.27,0.5719
say aadhar ensure national security aadharleaks abt pointing serious flaw national security reward instead,positive,0.061,0.421,0.519,0.8689
please arrange set aadhar card centre uae embassy bls passport centre help lot indian staying abroad,positive,0.0,0.737,0.263,0.6124
indore civil service job without aadhar davv may follow suit free press journal indore news,positive,0.0,0.809,0.191,0.5106
real definition tweeples sjw intellectual case point look way aadhar objected,positive,0.0,0.752,0.248,0.5106
evn aadhar adrs change rejected called helpline asked check website w asked call helpline,negative,0.216,0.784,0.0,-0.5106
one friend chembur thane please tell glorious aadhar panacea dyingg get destroytheaadhar,positive,0.0,0.481,0.519,0.8658
friend aadhar application rejected coz something wrong system turn everyone application tht day tht centre rejected,negative,0.39,0.482,0.129,-0.7579
every claim made article aadhar system idiotic offer solution worry,negative,0.411,0.443,0.146,-0.6369
old people pregnant lady standing long que get token aadhar fair sir pls help common ppl,positive,0.0,0.674,0.326,0.6486
digilocker great initiative spearhead effort aadhar yet well,positive,0.0,0.492,0.508,0.7351
aadhar increasingly might driven everybody putting pressure sure trust digilocker tho,positive,0.139,0.506,0.354,0.5267
getting aadhar card bangalore requires u two day leave st get token registration really disappointed,negative,0.277,0.723,0.0,-0.5563
cannot update aadhar w regd rental agreement registration mandatory year rental sbi need aadhar hdfc asked nothing,positive,0.0,0.757,0.243,0.5423
excellent critique aadhar lesson myth making care privacy amp confidentiality,positive,0.0,0.537,0.463,0.7845
hope writes strong convincing rebuttal allay fear raised jean dreze aadharcard,positive,0.168,0.366,0.466,0.6908
multiple debit card failure aadhar mean perhaps carry different finger,negative,0.268,0.732,0.0,-0.5106
aadhar attack ppl democratic right v dangerous nation,negative,0.554,0.446,0.0,-0.7351
great piece india aadhar card sort national id used,positive,0.0,0.661,0.339,0.6249
fool see problem aadhar stop acting like shit consequence via cc,negative,0.573,0.302,0.126,-0.836
aadhar leak getting scary day day,negative,0.583,0.417,0.0,-0.6808
soon see destroy aadhar word mention automatically pronounce aage badho,negative,0.28,0.72,0.0,-0.5423
change demographic jammu hell got aadhar amp voting card real mystery,negative,0.315,0.685,0.0,-0.6808
corrupted enforce aadhar also leap faith cia controlled alien disprove u agree,positive,0.0,0.629,0.371,0.6486
question u whether get dump customer aadhar plus info else vulnerability website,negative,0.333,0.667,0.0,-0.5423
dear sir aadhar website uidai responding n thr r complaint responsive please make functional,positive,0.125,0.455,0.42,0.6369
said need phone bank account aadhar protest reply argument make sense,negative,0.333,0.667,0.0,-0.5423
people neither needed phone bank account aadhar lodge protest much hypothetical state mind argument,negative,0.273,0.727,0.0,-0.5423
implication single publicly known aadhar number simple number like bank account number,positive,0.0,0.556,0.444,0.5267
kindly look back amp read esteemed opposition leader said kashmir pakistan gst aadhar fdi u turn,positive,0.0,0.681,0.319,0.7269
dead man get paid manrega amp congress amp left want aadhar seeding birth amp death record,negative,0.364,0.578,0.058,-0.836
document aadhar card pain card itr ragistration fssai aproovd machin quotation govt permission garentar think complete,negative,0.18,0.82,0.0,-0.5106
use aadhar third party establishment peril giving govt issue third party definitely,positive,0.134,0.347,0.52,0.7783
killing innocent getting jawan killed wearing bangle signifies opposing fdi gst aadhar bfr election bt implementing elec,negative,0.352,0.553,0.095,-0.8176
friend saif hussain enrolled aadhar receive even month enrollment number,positive,0.0,0.64,0.36,0.5423
social security number social security maintained u take aadhar number detail prove compromised,positive,0.0,0.519,0.481,0.6597
