tweet, polarity, negative, neutral, positive, compound
gst give good growth momentum carsales july,positive,0.0,0.476,0.524,0.6705
kindly advise take suitable action make gst really good simple tax,positive,0.0,0.585,0.415,0.7501
gst bring level playing field widening tax compliance cut logistics cost improve supply chain efficiency boost eco long run,positive,0.081,0.538,0.381,0.7783
gst play bro clear idea,positive,0.0,0.375,0.625,0.6124
save mfrs yarn waste man made fibre reduce gst present par wd cotton yarn survvl stake,positive,0.123,0.573,0.304,0.6249
spoke hon bl minister hurtful impact gst waste agrees problem wastegst,negative,0.445,0.3,0.255,-0.5859
destocking amp discount ahead gst rollout hurt june qtr earnings june qtr sale bse company lowest least qtrs,negative,0.273,0.727,0.0,-0.7184
digital india showcasing glorious effect v r waitng bigger disappointment wid gst site god bless india,positive,0.147,0.446,0.406,0.7003
tsbjpexemeet gst good simple tax benefit system people greater extent,positive,0.0,0.455,0.545,0.8126
tsbjpexemeet modi govt also passed gst bill parliament gst well appreciated scholar academician economist,positive,0.0,0.69,0.31,0.6597
gst non ac small restaurant still charging please help u chkd right,positive,0.0,0.643,0.357,0.6124
gst funny video taya natha new comedy video vine video via,positive,0.0,0.625,0.375,0.6597
attened gst_conclave conference amazing gstsimplified gstfaqs gstfaqs gst newtrack newsalert,positive,0.0,0.703,0.297,0.5859
gst help improve gdp long run askarunthukral,positive,0.0,0.472,0.528,0.6808
etindustrynews consensus e way bill help ease transport good across state border yosoyj,positive,0.0,0.526,0.474,0.7964
consensus e way bill help ease transport good across state border,positive,0.0,0.464,0.536,0.7964
consensus e way bill help ease transport good across state border,positive,0.0,0.464,0.536,0.7964
consensus e way bill help ease transport good across state border,positive,0.0,0.464,0.536,0.7964
plan increase time limit paying gst beyond th aug keeping mind gstn ready trans,positive,0.0,0.714,0.286,0.5859
look like hotelier happiest gst sharp hike price name gst true profiteering acchhe din,positive,0.076,0.474,0.45,0.836
agenda next gst council meeting please publish benefit crore textile trader india thanks,positive,0.0,0.549,0.451,0.802
dat true even think time dat also gst place data n gst interlinked highly capable server r imp,positive,0.0,0.711,0.289,0.6901
jio take security deposit pay gst save million billion r year phone work,positive,0.087,0.562,0.35,0.6369
waste recycled due gst start accumulating landfill exacerbating pollution problem country wastegst,negative,0.355,0.645,0.0,-0.6705
sir please firstly understand one thing gst foolproof high level tac evasion possible gst,positive,0.0,0.71,0.29,0.5994
salaried individual r lakh annual turnover consultancy mostly interstate gst provide free software,positive,0.0,0.769,0.231,0.5106
gst midnight zero implement capital punishment rape retrospective,negative,0.568,0.432,0.0,-0.836
get gst registration online free india gst free registergst gstonline,positive,0.0,0.548,0.452,0.765
ha ha ha know exist gst go study something indirect tax past hidden n open,positive,0.0,0.604,0.396,0.7351
important thread understand gst hurting waste wastepickers thereby hurting swachhbharat cleanindia,negative,0.482,0.412,0.106,-0.7506
problem censor u gst tax vivegamcensor,negative,0.655,0.345,0.0,-0.6908
pm giving peanut frm hand eat side removing teeth ppl startupindia notbandi gst still respect bht buri mari hai,positive,0.0,0.648,0.352,0.8271
gst big positive economy benefit seen within month mannkibaat read,positive,0.0,0.548,0.452,0.765
pm giving peanut frm hand eat side removing teeth ppl startupindia notbandi gst still respect bht buri mari hai,positive,0.0,0.648,0.352,0.8271
good make people aware take job defence reform border infra demonetization gst black money issue,positive,0.0,0.751,0.249,0.5106
sir please confirm gst rate printed carton saying please help,positive,0.0,0.49,0.51,0.743
ido amp microsoft kaizala simple yet powerful solution small business manage accounting amp gst compliance,positive,0.0,0.718,0.282,0.6249
government come excellent vision gst registration concept compliance rating,positive,0.0,0.551,0.449,0.6908
u work gov gst gov devlop nation shame u upsc selection process questionable,negative,0.371,0.629,0.0,-0.6486
failure government ca advocate machine gst took month,negative,0.32,0.68,0.0,-0.5106
yes sir gst effect growth indian economical good good used progress india jai bharat,positive,0.0,0.393,0.607,0.9169
online accounting software gst inventory saas based application easy use offline online user gst ready,positive,0.079,0.635,0.286,0.5994
turnbull stalling new info reveals due stampede west aussie leaving drove gst refund even le,negative,0.261,0.739,0.0,-0.5574
indian fyi gst aadhar pan linking extended date form caused trouble server problem dept,negative,0.297,0.604,0.099,-0.5574
tax textile job work st july good recive july job apply gst finish job good,positive,0.0,0.691,0.309,0.7003
good move without tax invoice putting tax advance pmt cumbersome good moved,positive,0.0,0.633,0.367,0.7003
create gst tax invoice excel new gst invoice format excel gst bill format via,positive,0.0,0.576,0.424,0.7964
affirmation indian eco strength structural initiative like demonetization gst ibc code monsoon benefit rural eco,positive,0.0,0.58,0.42,0.8271
fair share gst malcom wa,positive,0.0,0.4,0.6,0.5423
unplaaned government harassing people always without prepartion implemented gst look income tax site ridiculous,negative,0.333,0.667,0.0,-0.7184
day ago truly defined gst good simple tax unify india economy gst transformation economy,positive,0.0,0.674,0.326,0.7003
thanks extension income tax return till th august hope happen gst website,positive,0.0,0.633,0.367,0.7003
get free trial toll free freetrial accounting billing software,positive,0.0,0.515,0.485,0.765
gst nominated second abused word last one month dombivili still keep first position mumbai mondaymotivation,negative,0.191,0.809,0.0,-0.5106
use many bill like gst others advantage use within limit use,positive,0.0,0.667,0.333,0.5423
honble modijee congrats ur greatns tremendous achivmnt demonetrisation gst also digital transcend jay hind bharat maataki jay,positive,0.0,0.825,0.175,0.5267
yeah even gst tax single good tax n different income tax depend much one earn,positive,0.0,0.702,0.298,0.6249
early ass gst impact tourism mahesh sharma early understand impact gst,negative,0.259,0.741,0.0,-0.5423
oracleebs gst join u aug financials india good service tax reverse charge mechanism advisor webcast,positive,0.0,0.702,0.298,0.6249
modi sir wht abt j amp k aftr gst rolled chnge lakhanpur toll price good gt mre high,positive,0.0,0.737,0.263,0.6124
early ass gst impact tourism read,negative,0.412,0.588,0.0,-0.5423
gst another scam demonetization bloody bjp govt killing business making everyone poor,negative,0.638,0.362,0.0,-0.9337
gst impact car best available car via,positive,0.0,0.588,0.412,0.6369
gst impact truck travel time interstate movement drop say govt via nmapp good relief,positive,0.11,0.576,0.314,0.5994
earlier solid rubber tyre classified however solid tyre indicated gst tariff please help,positive,0.0,0.523,0.477,0.7351
expecting miracle gst website,positive,0.0,0.441,0.559,0.5859
pls make sure site work better gst,positive,0.0,0.381,0.619,0.6705
sir income tax dept take around crore return year gst site expected crore invoice month hope ready,positive,0.0,0.735,0.265,0.6597
dear sir kindly revisit gst rate construction flat builder asking gst earlier huge load u,positive,0.0,0.576,0.424,0.7964
still waiting help tin number linked provisional gst registration number,positive,0.0,0.569,0.431,0.5106
agree sir really happy implement gst,positive,0.0,0.381,0.619,0.7574
