tweet, polarity, negative, neutral, positive, compound
virathindu bjp upcm yogiadityanath fake news becomes rallying cry censorship southeast asia,negative,0.383,0.617,0.0,-0.7351
virathindu bjp upcm yogiadityanath asian share show relief french moderate macron win,positive,0.0,0.497,0.503,0.8442
virathindu bjp upcm yogiadityanath wonderful kashmiri student show mirror pakistan,positive,0.0,0.709,0.291,0.5719
virathindu bjp upcm yogiadityanath shocking exposure nirbhaya case mind rape another girl sa,negative,0.402,0.598,0.0,-0.8126
uttarpradesh sugarcane farmer seek permission yogiadityanath die,negative,0.394,0.606,0.0,-0.5994
virathindu bjp upcm yogiadityanath iraqi entrepreneur find business success smartphone apps,positive,0.0,0.73,0.27,0.5719
yogiadityanath sir please visit place like vijay nagar gandhi nagar also may nagar nigam take action towards cleaniness,positive,0.0,0.769,0.231,0.5859
virathindu bjp upcm yogiadityanath juvenile rapist nirbhaya mohammed afroz wanted rape another girl,negative,0.466,0.534,0.0,-0.891
wish delhi could cm like yogiadityanath,positive,0.0,0.435,0.565,0.6369
yogiadityanath glad u r coming agra day hope u c inner road main road u get true picture filth amp pothole,positive,0.0,0.599,0.401,0.8271
uttarpradesh chief minister yogiadityanath openly abetting hindutva criminal state,negative,0.298,0.702,0.0,-0.5267
virathindu bjp upcm yogiadityanath trump celebrates house passage obamacare replacement,positive,0.0,0.709,0.291,0.5719
time blitzkrieg pak best move solve long bleeding kashmir issue,positive,0.0,0.571,0.429,0.7184
yogiadityanath sir apka swagat hai agra apse reqsts hai illegal construction search agra police work par jarur kch kare thnx,negative,0.159,0.841,0.0,-0.5574
virathindu bjp upcm yogiadityanath breaking news juvenile rapist turn nirbhaya case file,negative,0.308,0.692,0.0,-0.7096
virathindu bjp upcm yogiadityanath afghan woman fear loss shelter funding dwindles,negative,0.379,0.621,0.0,-0.6705
two day found massive support yogiadityanath step huge expectation people tough job change yr,positive,0.086,0.629,0.286,0.5423
bjp win daily story via bjp yogiadityanath,positive,0.0,0.612,0.388,0.5859
gently stroke yogiadityanath screensaver place left nipple feel warmth spread groin bmkj jaihind,positive,0.0,0.647,0.353,0.7184
virathindu bjp upcm yogiadityanath delhi pull nd biggest successful run chase ipl,positive,0.0,0.743,0.257,0.5859
